sentence1,sentence2,label,idx,text,prediction,response
"Kids , adults , booksellers and postal workers all are preparing for "" Harry Potter and the Order of the Phoenix . ""","The crates are full of hardback copies of "" Harry Potter and the Order of the Phoenix . """,0,415,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Kids , adults , booksellers and postal workers all are preparing for "" Harry Potter and the Order of the Phoenix . ""
    Sentence 2: The crates are full of hardback copies of "" Harry Potter and the Order of the Phoenix . ""
    Score: ",1, 1:
The proportion of people covered by employers dropped from 62.3 percent in 2001 to 61.3 percent last year .,"The proportion of Americans with insurance from employers declined to 61.3 percent , from 62.6 percent in 2001 and 63.6 percent in 2000 .",0,1671,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The proportion of people covered by employers dropped from 62.3 percent in 2001 to 61.3 percent last year .
    Sentence 2: The proportion of Americans with insurance from employers declined to 61.3 percent , from 62.6 percent in 2001 and 63.6 percent in 2000 .
    Score: ",0, 0:
Retailers J.C. Penney Co . Inc.JCP.N and Walgreen Co.WAG.N kick things off early in the week .,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,1,395,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Retailers J.C. Penney Co . Inc.JCP.N and Walgreen Co.WAG.N kick things off early in the week .
    Sentence 2: Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .
    Score: ",1, 1:
Advanced Micro Devices Inc . Tuesday introduced its Athlon MP 2800 + processor for entry-level one- and two-way servers and workstations .,Advanced Micro Devices on Tuesday launched its newest Athlon chip for workstations and servers .,1,1362,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Advanced Micro Devices Inc . Tuesday introduced its Athlon MP 2800 + processor for entry-level one- and two-way servers and workstations .
    Sentence 2: Advanced Micro Devices on Tuesday launched its newest Athlon chip for workstations and servers .
    Score: ",0, 1:
"The Nikkei average closed up 1.5 percent at 8,152.16 , a one-month high .","The Nikkei average ended the morning up half a percent at 8,071.00 .",0,547,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The Nikkei average closed up 1.5 percent at 8,152.16 , a one-month high .
    Sentence 2: The Nikkei average ended the morning up half a percent at 8,071.00 .
    Score: ",0, 1:
"The stock rose $ 2.11 , or about 11 percent , to close on Friday at $ 21.51 on the New York Stock Exchange .",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1,1331,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: The stock rose $ 2.11 , or about 11 percent , to close on Friday at $ 21.51 on the New York Stock Exchange .
    Sentence 2: PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .
    Score: ",1, 1:
Entrenched interests are positioning themselves to control the network 's chokepoints and they are lobbying the FCC to aid and abet them .,"It may be dying because entrenched interests are positioning themselves to control the Internet 's choke-points and they are lobbying the FCC to aid and abet them . """,0,1665,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Entrenched interests are positioning themselves to control the network 's chokepoints and they are lobbying the FCC to aid and abet them .
    Sentence 2: It may be dying because entrenched interests are positioning themselves to control the Internet 's choke-points and they are lobbying the FCC to aid and abet them . ""
    Score: ",1, 1:
Bush already is halfway to his goal of raising $ 150 million to $ 170 million for next year 's primaries .,He is roughly halfway to his goal of raising between $ 150 million and $ 170 million in the primaries .,1,309,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Bush already is halfway to his goal of raising $ 150 million to $ 170 million for next year 's primaries .
    Sentence 2: He is roughly halfway to his goal of raising between $ 150 million and $ 170 million in the primaries .
    Score: ",0, 1:
"Early Wednesday , the benchmark 10-year US10YT = RR had lost 16 / 32 in price , driving its yield up to 3.33 percent from 3.26 percent late Tuesday .","Further out the curve , the benchmark 10-year note US10YT = RR shed 26 / 32 in price , taking its yield to 3.27 percent from 3.17 percent .",1,563,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Early Wednesday , the benchmark 10-year US10YT = RR had lost 16 / 32 in price , driving its yield up to 3.33 percent from 3.26 percent late Tuesday .
    Sentence 2: Further out the curve , the benchmark 10-year note US10YT = RR shed 26 / 32 in price , taking its yield to 3.27 percent from 3.17 percent .
    Score: ",0, 0:
Joining Stern and McEntee on stage was International Union of Painters and Allied Trades President James Williams .,The International Union of Painters and Allied Trades endorsed Mr Dean several weeks ago .,0,848,"Score the semantic siimilarity between two sentences below. If the sentences are equivalent score it as 1. If the sentences are not equivalent score it as 0.
    Sentence 1: Joining Stern and McEntee on stage was International Union of Painters and Allied Trades President James Williams .
    Sentence 2: The International Union of Painters and Allied Trades endorsed Mr Dean several weeks ago .
    Score: ",0, 0:
